prefecture,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
,2020/02/15,-1,4,7,1,4,0
,2020/02/16,-9,-6,-35,-10,-2,2
,2020/02/17,-2,1,-5,-1,0,1
,2020/02/18,1,2,1,-2,0,1
,2020/02/19,0,2,8,-3,0,0
,2020/02/20,1,4,4,-3,0,0
,2020/02/21,-1,2,7,-2,0,1
,2020/02/22,-5,1,-10,-3,-1,2
,2020/02/23,1,3,16,2,0,0
,2020/02/24,18,4,54,-27,-55,14
,2020/02/25,0,7,0,-2,1,1
,2020/02/26,-4,3,-5,-5,1,1
,2020/02/27,-3,6,-4,-7,0,1
,2020/02/28,-2,14,-4,-10,1,2
,2020/02/29,-10,9,-22,-21,3,4
,2020/03/01,-10,9,-1,-23,1,4
,2020/03/02,-10,3,-15,-15,-2,4
,2020/03/03,-2,9,11,-15,-2,4
,2020/03/04,-12,-2,-21,-19,-4,5
,2020/03/05,-9,3,-8,-18,-4,4
,2020/03/06,-9,2,5,-18,-4,5
,2020/03/07,-12,2,-8,-24,-4,5
,2020/03/08,-17,-4,-35,-31,-5,6
,2020/03/09,-7,2,11,-15,-3,4
,2020/03/10,-9,-3,-28,-18,-5,6
,2020/03/11,-3,4,13,-16,-4,3
,2020/03/12,-3,5,16,-15,-4,3
,2020/03/13,-5,3,10,-17,-4,5
,2020/03/14,-14,-4,-39,-27,-7,7
,2020/03/15,-7,5,9,-21,-3,3
,2020/03/16,-7,0,-7,-15,-3,4
,2020/03/17,-1,4,14,-15,-4,4
,2020/03/18,-3,3,20,-14,-4,3
,2020/03/19,4,6,17,-10,-4,2
,2020/03/20,7,6,40,-34,-54,17
,2020/03/21,-6,5,34,-15,-7,3
,2020/03/22,-9,1,18,-18,-3,3
,2020/03/23,-4,0,11,-13,-3,3
,2020/03/24,0,3,14,-13,-4,4
,2020/03/25,2,8,31,-11,-4,2
,2020/03/26,0,13,26,-13,-5,3
,2020/03/27,-10,3,-9,-19,-7,6
,2020/03/28,-18,1,-23,-33,-8,7
,2020/03/29,-26,-7,-25,-41,-9,7
,2020/03/30,-7,4,-2,-20,-8,5
,2020/03/31,-4,7,9,-20,-7,5
,2020/04/01,-20,-5,-29,-25,-10,7
,2020/04/02,-12,6,13,-23,-10,6
,2020/04/03,-14,6,26,-25,-11,7
,2020/04/04,-21,6,26,-35,-12,8
,2020/04/05,-25,2,3,-43,-13,8
,2020/04/06,-13,7,15,-24,-11,7
,2020/04/07,-12,6,17,-27,-13,8
,2020/04/08,-22,2,16,-34,-16,9
,2020/04/09,-24,2,8,-36,-17,10
,2020/04/10,-26,4,0,-38,-18,12
,2020/04/11,-30,4,3,-48,-22,12
,2020/04/12,-40,-9,-35,-58,-22,12
,2020/04/13,-38,-15,-45,-45,-20,13
,2020/04/14,-23,5,10,-41,-20,12
,2020/04/15,-24,7,17,-41,-21,11
,2020/04/16,-27,5,9,-43,-22,12
,2020/04/17,-31,4,-1,-46,-23,14
,2020/04/18,-48,-14,-47,-60,-26,16
,2020/04/19,-40,-3,1,-53,-23,11
,2020/04/20,-37,-8,-33,-47,-23,14
,2020/04/21,-31,1,8,-46,-25,14
,2020/04/22,-36,-4,-3,-48,-26,14
,2020/04/23,-36,-3,-4,-48,-26,15
,2020/04/24,-37,-1,-8,-48,-26,16
,2020/04/25,-41,-3,-9,-53,-26,14
,2020/04/26,-45,-9,-16,-58,-27,12
,2020/04/27,-35,-5,-9,-47,-26,15
,2020/04/28,-28,2,4,-46,-27,14
,2020/04/29,-30,-5,23,-64,-64,22
,2020/04/30,-30,4,8,-47,-32,16
,2020/05/01,-35,1,4,-50,-35,19
,2020/05/02,-43,-5,-11,-55,-30,15
,2020/05/03,-45,-9,-19,-58,-30,12
,2020/05/04,-28,-6,4,-67,-73,29
,2020/05/05,-23,0,29,-65,-73,29
,2020/05/06,-36,-12,-17,-69,-72,30
,2020/05/07,-31,1,3,-44,-26,14
,2020/05/08,-34,0,6,-45,-27,16
,2020/05/09,-39,-5,-20,-51,-20,13
Aichi,2020/02/15,0,3,8,-4,4,0
Aichi,2020/02/16,-8,-6,-42,-12,-2,3
Aichi,2020/02/17,-1,1,1,-2,1,1
Aichi,2020/02/18,0,-1,0,-4,0,1
Aichi,2020/02/19,1,1,6,-4,1,1
Aichi,2020/02/20,3,4,5,-4,0,0
Aichi,2020/02/21,0,2,9,-2,0,1
Aichi,2020/02/22,-5,-1,-23,-8,-2,3
Aichi,2020/02/23,-2,2,-3,-5,-1,1
Aichi,2020/02/24,17,2,53,-25,-44,11
Aichi,2020/02/25,-2,5,-1,-4,1,1
Aichi,2020/02/26,-2,4,5,-6,1,1
Aichi,2020/02/27,-2,6,-1,-9,1,2
Aichi,2020/02/28,-2,14,0,-13,1,2
Aichi,2020/02/29,-9,9,-31,-29,2,5
Aichi,2020/03/01,-10,10,8,-29,1,4
Aichi,2020/03/02,-7,6,8,-17,-1,3
Aichi,2020/03/03,-3,8,19,-21,-3,3
Aichi,2020/03/04,-13,-2,-20,-21,-3,5
Aichi,2020/03/05,-8,3,-8,-22,-3,4
Aichi,2020/03/06,-11,2,5,-23,-3,5
Aichi,2020/03/07,-12,4,10,-33,-3,5
Aichi,2020/03/08,-23,-10,-57,-42,-8,8
Aichi,2020/03/09,-6,2,25,-18,-3,3
Aichi,2020/03/10,-12,-5,-32,-23,-5,6
Aichi,2020/03/11,-4,4,10,-20,-3,4
Aichi,2020/03/12,-3,5,23,-20,-3,3
Aichi,2020/03/13,-7,3,19,-21,-4,4
Aichi,2020/03/14,-12,-2,-39,-35,-6,7
Aichi,2020/03/15,-10,3,13,-31,-3,4
Aichi,2020/03/16,-8,0,-4,-18,-3,4
Aichi,2020/03/17,-5,2,22,-19,-3,3
Aichi,2020/03/18,-4,4,22,-16,-2,3
Aichi,2020/03/19,4,4,18,-14,-5,3
Aichi,2020/03/20,2,2,17,-41,-43,15
Aichi,2020/03/21,-9,3,30,-28,-6,4
Aichi,2020/03/22,-11,1,21,-26,-4,3
Aichi,2020/03/23,-5,1,19,-14,-4,3
Aichi,2020/03/24,-3,2,11,-17,-4,4
Aichi,2020/03/25,0,6,30,-14,-4,3
Aichi,2020/03/26,1,10,39,-15,-5,3
Aichi,2020/03/27,-12,-3,-33,-21,-7,7
Aichi,2020/03/28,-13,3,-11,-32,-5,6
Aichi,2020/03/29,-14,1,-11,-35,-5,6
Aichi,2020/03/30,-8,0,-13,-19,-6,5
Aichi,2020/03/31,-5,4,-2,-20,-6,5
Aichi,2020/04/01,-16,-5,-22,-21,-6,6
Aichi,2020/04/02,-9,6,30,-22,-7,5
Aichi,2020/04/03,-12,5,48,-24,-8,6
Aichi,2020/04/04,-14,8,53,-38,-10,7
Aichi,2020/04/05,-19,5,19,-43,-10,7
Aichi,2020/04/06,-9,6,29,-21,-10,6
Aichi,2020/04/07,-11,5,33,-25,-10,6
Aichi,2020/04/08,-17,3,28,-29,-10,7
Aichi,2020/04/09,-14,6,22,-30,-10,7
Aichi,2020/04/10,-21,5,1,-35,-12,9
Aichi,2020/04/11,-28,4,7,-52,-20,12
Aichi,2020/04/12,-38,-7,-37,-61,-20,12
Aichi,2020/04/13,-33,-12,-45,-40,-16,12
Aichi,2020/04/14,-23,2,6,-41,-16,11
Aichi,2020/04/15,-22,5,20,-41,-17,10
Aichi,2020/04/16,-22,5,20,-42,-18,11
Aichi,2020/04/17,-29,0,-5,-46,-20,14
Aichi,2020/04/18,-43,-11,-54,-64,-26,17
Aichi,2020/04/19,-37,-1,7,-59,-23,12
Aichi,2020/04/20,-34,-7,-33,-46,-21,14
Aichi,2020/04/21,-30,0,15,-46,-21,13
Aichi,2020/04/22,-33,-4,-4,-49,-22,14
Aichi,2020/04/23,-32,-2,5,-49,-23,14
Aichi,2020/04/24,-35,-2,-8,-50,-24,16
Aichi,2020/04/25,-38,-1,1,-59,-26,14
Aichi,2020/04/26,-42,-6,-5,-62,-27,13
Aichi,2020/04/27,-30,-3,13,-46,-22,13
Aichi,2020/04/28,-26,1,14,-47,-23,13
Aichi,2020/04/29,-26,-5,26,-65,-54,20
Aichi,2020/04/30,-27,4,15,-49,-28,16
Aichi,2020/05/01,-30,1,14,-53,-38,21
Aichi,2020/05/02,-40,-4,-6,-60,-32,16
Aichi,2020/05/03,-41,-7,-8,-63,-29,13
Aichi,2020/05/04,-19,-5,12,-71,-76,31
Aichi,2020/05/05,-15,1,46,-68,-76,30
Aichi,2020/05/06,-30,-14,-33,-73,-74,32
Aichi,2020/05/07,-21,4,23,-47,-35,17
Aichi,2020/05/08,-27,1,24,-49,-35,19
Aichi,2020/05/09,-36,-6,-13,-59,-23,14
Akita,2020/02/15,5,5,38,7,6,-1
Akita,2020/02/16,-2,0,-10,-5,0,2
Akita,2020/02/17,0,-1,1,3,0,1
Akita,2020/02/18,-2,-1,-8,-9,0,2
Akita,2020/02/19,2,4,5,0,0,0
Akita,2020/02/20,6,7,8,4,2,0
Akita,2020/02/21,1,-1,2,-1,1,1
Akita,2020/02/22,2,4,-1,0,-2,1
Akita,2020/02/23,-1,-2,-25,-10,-1,1
Akita,2020/02/24,24,1,15,2,-53,14
Akita,2020/02/25,6,8,3,-1,1,0
Akita,2020/02/26,6,7,17,3,1,0
Akita,2020/02/27,3,6,5,-1,2,1
Akita,2020/02/28,2,6,-3,-17,3,1
Akita,2020/02/29,2,14,2,-22,9,1
Akita,2020/03/01,-4,11,-20,-26,5,3
Akita,2020/03/02,-3,3,0,-23,-1,3
Akita,2020/03/03,2,7,-1,-27,0,3
Akita,2020/03/04,-2,5,8,-20,-1,3
Akita,2020/03/05,-8,-2,-15,-26,-1,4
Akita,2020/03/06,-7,-3,-7,-27,-1,4
Akita,2020/03/07,-5,4,22,-22,1,3
Akita,2020/03/08,-5,3,35,-21,0,3
Akita,2020/03/09,-2,-1,37,-13,-3,3
Akita,2020/03/10,-1,4,-9,-23,-2,4
Akita,2020/03/11,-2,2,-3,-22,-2,3
Akita,2020/03/12,4,6,13,-17,-1,3
Akita,2020/03/13,-5,-3,-6,-27,-2,5
Akita,2020/03/14,2,6,15,-19,-5,3
Akita,2020/03/15,0,6,20,-16,-1,3
Akita,2020/03/16,-2,-1,4,-17,-3,3
Akita,2020/03/17,2,0,-3,-20,-2,3
Akita,2020/03/18,4,4,17,-13,-1,2
Akita,2020/03/19,15,11,39,-2,-1,1
Akita,2020/03/20,9,0,-15,-27,-52,18
Akita,2020/03/21,-1,2,0,-13,-6,3
Akita,2020/03/22,-5,-2,-27,-16,-2,3
Akita,2020/03/23,3,0,24,-10,-3,2
Akita,2020/03/24,7,2,7,-15,-2,3
Akita,2020/03/25,12,9,32,-6,-2,1
Akita,2020/03/26,10,8,23,-11,-2,2
Akita,2020/03/27,3,0,4,-19,-2,3
Akita,2020/03/28,3,7,23,-16,-3,3
Akita,2020/03/29,-1,5,19,-20,0,3
Akita,2020/03/30,8,2,33,-11,-5,3
Akita,2020/03/31,6,5,29,-17,-4,3
Akita,2020/04/01,-4,5,3,-20,-5,3
Akita,2020/04/02,-6,2,1,-21,-6,5
Akita,2020/04/03,-7,-1,19,-25,-6,5
Akita,2020/04/04,-7,6,37,-26,-6,5
Akita,2020/04/05,-14,2,-23,-38,-6,7
Akita,2020/04/06,-11,-3,-3,-20,-6,5
Akita,2020/04/07,1,6,23,-22,-10,4
Akita,2020/04/08,-4,4,23,-19,-8,3
Akita,2020/04/09,-9,1,7,-23,-6,4
Akita,2020/04/10,-11,3,-4,-30,-7,5
Akita,2020/04/11,-10,6,52,-30,-14,7
Akita,2020/04/12,-20,2,16,-38,-8,7
Akita,2020/04/13,-13,-1,18,-26,-7,5
Akita,2020/04/14,-11,2,24,-26,-7,5
Akita,2020/04/15,-8,9,23,-27,-7,4
Akita,2020/04/16,-8,6,54,-23,-7,5
Akita,2020/04/17,-13,1,59,-28,-8,6
Akita,2020/04/18,-26,1,-1,-42,-10,9
Akita,2020/04/19,-25,0,91,-33,-12,7
Akita,2020/04/20,-21,-2,-5,-34,-9,7
Akita,2020/04/21,-17,1,24,-36,-11,7
Akita,2020/04/22,-19,1,11,-37,-12,7
Akita,2020/04/23,-23,-2,6,-36,-11,8
Akita,2020/04/24,-21,0,21,-39,-11,9
Akita,2020/04/25,-29,1,23,-48,-22,11
Akita,2020/04/26,-33,-5,2,-54,-20,10
Akita,2020/04/27,-18,-1,44,-36,-14,8
Akita,2020/04/28,-14,2,25,-42,-15,7
Akita,2020/04/29,-15,-3,36,-51,-60,18
Akita,2020/04/30,-15,5,51,-35,-18,9
Akita,2020/05/01,-22,1,8,-47,-22,13
Akita,2020/05/02,-28,-2,42,-46,-24,11
Akita,2020/05/03,-27,-2,89,-37,-23,7
Akita,2020/05/04,-4,-2,87,-45,-69,24
Akita,2020/05/05,4,6,88,-45,-70,23
Akita,2020/05/06,-8,-1,64,-48,-67,24
Akita,2020/05/07,-16,0,35,-35,-11,7
Akita,2020/05/08,-19,-4,54,-36,-11,8
Akita,2020/05/09,-20,0,57,-36,-6,6
Aomori,2020/02/15,1,2,10,-4,5,-1
Aomori,2020/02/16,-9,-3,-19,-14,-2,2
Aomori,2020/02/17,0,-1,1,-5,-1,1
Aomori,2020/02/18,1,-1,-1,-2,0,1
Aomori,2020/02/19,2,5,10,2,1,0
Aomori,2020/02/20,6,5,3,0,0,0
Aomori,2020/02/21,1,-1,-2,-2,1,1
Aomori,2020/02/22,1,2,2,2,1,0
Aomori,2020/02/23,-2,-2,-21,-10,-1,1
Aomori,2020/02/24,27,3,-5,-6,-51,14
Aomori,2020/02/25,6,6,0,1,1,0
Aomori,2020/02/26,4,7,9,1,2,0
Aomori,2020/02/27,1,5,2,-4,1,1
Aomori,2020/02/28,1,9,-6,-13,2,1
Aomori,2020/02/29,-2,14,-8,-18,8,1
Aomori,2020/03/01,-8,9,-16,-24,4,3
Aomori,2020/03/02,-5,1,-9,-20,-1,3
Aomori,2020/03/03,0,7,-5,-19,-2,3
Aomori,2020/03/04,2,7,17,-15,-1,2
Aomori,2020/03/05,-5,1,-2,-19,-2,4
Aomori,2020/03/06,-7,-3,-7,-23,-2,4
Aomori,2020/03/07,-6,2,5,-20,-1,3
Aomori,2020/03/08,-7,1,26,-15,-2,3
Aomori,2020/03/09,-2,-3,15,-16,-2,3
Aomori,2020/03/10,1,2,-6,-20,-3,3
Aomori,2020/03/11,4,5,7,-14,-3,3
Aomori,2020/03/12,5,5,8,-14,-3,3
Aomori,2020/03/13,-2,-2,-13,-22,-4,4
Aomori,2020/03/14,0,3,1,-16,-4,3
Aomori,2020/03/15,-5,3,-2,-17,-2,3
Aomori,2020/03/16,-4,-1,-17,-20,-3,4
Aomori,2020/03/17,5,3,5,-12,-2,2
Aomori,2020/03/18,7,6,19,-11,-1,1
Aomori,2020/03/19,15,8,25,-4,-4,0
Aomori,2020/03/20,10,0,-17,-29,-50,17
Aomori,2020/03/21,-2,2,2,-12,-4,3
Aomori,2020/03/22,-5,0,0,-9,-2,2
Aomori,2020/03/23,1,-1,11,-13,-2,2
Aomori,2020/03/24,5,3,8,-14,-3,3
Aomori,2020/03/25,12,12,26,-9,-3,1
Aomori,2020/03/26,4,7,14,-13,-4,3
Aomori,2020/03/27,-2,3,9,-20,-4,4
Aomori,2020/03/28,-4,3,8,-19,-3,3
Aomori,2020/03/29,-11,1,11,-20,0,3
Aomori,2020/03/30,3,-1,20,-16,-5,3
Aomori,2020/03/31,4,5,22,-16,-5,3
Aomori,2020/04/01,-4,6,9,-19,-5,3
Aomori,2020/04/02,-7,2,-7,-24,-8,5
Aomori,2020/04/03,-11,1,8,-27,-7,5
Aomori,2020/04/04,-15,4,19,-25,-6,5
Aomori,2020/04/05,-21,2,-12,-35,-8,6
Aomori,2020/04/06,-13,-3,-13,-25,-8,5
Aomori,2020/04/07,-2,5,17,-20,-12,4
Aomori,2020/04/08,-9,5,20,-19,-7,3
Aomori,2020/04/09,-14,1,-2,-24,-7,5
Aomori,2020/04/10,-17,2,-5,-29,-6,5
Aomori,2020/04/11,-19,2,2,-33,-13,7
Aomori,2020/04/12,-27,-3,-16,-42,-11,7
Aomori,2020/04/13,-17,-4,-12,-28,-7,5
Aomori,2020/04/14,-11,2,14,-22,-7,4
Aomori,2020/04/15,-7,10,6,-23,-7,4
Aomori,2020/04/16,-10,6,19,-24,-8,4
Aomori,2020/04/17,-16,1,16,-30,-8,6
Aomori,2020/04/18,-24,1,-8,-36,-9,7
Aomori,2020/04/19,-32,-7,-34,-45,-13,9
Aomori,2020/04/20,-21,-2,-20,-35,-9,7
Aomori,2020/04/21,-17,0,0,-32,-11,7
Aomori,2020/04/22,-16,3,7,-33,-12,7
Aomori,2020/04/23,-22,-2,-9,-36,-13,8
Aomori,2020/04/24,-21,1,2,-38,-12,8
Aomori,2020/04/25,-25,0,9,-36,-14,8
Aomori,2020/04/26,-32,-4,-4,-45,-15,8
Aomori,2020/04/27,-17,-3,3,-35,-13,8
Aomori,2020/04/28,-9,5,15,-32,-13,6
Aomori,2020/04/29,-10,0,31,-46,-58,17
Aomori,2020/04/30,-16,5,19,-36,-20,9
Aomori,2020/05/01,-23,2,11,-42,-23,12
Aomori,2020/05/02,-31,-3,14,-42,-23,10
Aomori,2020/05/03,-32,-2,33,-40,-22,7
Aomori,2020/05/04,-7,-2,28,-47,-68,23
Aomori,2020/05/05,2,7,43,-43,-68,23
Aomori,2020/05/06,-10,-1,17,-49,-65,23
Aomori,2020/05/07,-15,1,8,-31,-10,6
Aomori,2020/05/08,-19,-2,15,-32,-10,7
Aomori,2020/05/09,-21,-2,22,-31,-5,6
Chiba,2020/02/15,-3,3,9,0,4,0
Chiba,2020/02/16,-12,-8,-41,-13,-1,3
Chiba,2020/02/17,-3,1,-1,-2,1,1
Chiba,2020/02/18,3,3,9,-3,0,1
Chiba,2020/02/19,-1,3,17,-3,0,0
Chiba,2020/02/20,0,3,1,-3,0,1
Chiba,2020/02/21,-2,2,9,-5,0,1
Chiba,2020/02/22,-6,1,-7,-5,0,2
Chiba,2020/02/23,0,7,33,-2,1,0
Chiba,2020/02/24,24,6,69,-34,-58,17
Chiba,2020/02/25,-1,7,1,-4,1,1
Chiba,2020/02/26,-8,3,-13,-7,0,2
Chiba,2020/02/27,-4,7,-2,-7,0,2
Chiba,2020/02/28,-1,18,3,-11,0,2
Chiba,2020/02/29,-11,10,-5,-21,3,4
Chiba,2020/03/01,-12,10,24,-27,0,4
Chiba,2020/03/02,-18,-3,-39,-19,-4,5
Chiba,2020/03/03,-3,9,26,-16,-3,4
Chiba,2020/03/04,-17,-4,-26,-21,-6,7
Chiba,2020/03/05,-10,3,-3,-19,-5,6
Chiba,2020/03/06,-10,4,17,-19,-5,5
Chiba,2020/03/07,-14,1,-17,-26,-4,6
Chiba,2020/03/08,-20,-6,-50,-36,-7,7
Chiba,2020/03/09,-10,2,10,-18,-5,5
Chiba,2020/03/10,-12,-5,-33,-20,-7,7
Chiba,2020/03/11,-5,7,44,-18,-6,4
Chiba,2020/03/12,-4,5,27,-18,-6,5
Chiba,2020/03/13,-7,6,26,-18,-6,5
Chiba,2020/03/14,-23,-12,-55,-33,-9,8
Chiba,2020/03/15,-7,11,36,-24,-2,4
Chiba,2020/03/16,-9,1,2,-17,-4,5
Chiba,2020/03/17,-2,5,22,-18,-5,4
Chiba,2020/03/18,-4,6,45,-15,-5,4
Chiba,2020/03/19,1,6,22,-14,-6,3
Chiba,2020/03/20,13,11,65,-40,-58,19
Chiba,2020/03/21,-8,7,49,-19,-7,3
Chiba,2020/03/22,-10,5,46,-22,-4,3
Chiba,2020/03/23,-9,-1,7,-17,-4,4
Chiba,2020/03/24,-3,3,23,-17,-5,5
Chiba,2020/03/25,-1,10,65,-15,-6,3
Chiba,2020/03/26,1,18,54,-16,-7,4
Chiba,2020/03/27,-9,10,19,-23,-9,7
Chiba,2020/03/28,-22,1,-22,-39,-10,9
Chiba,2020/03/29,-43,-21,-61,-53,-15,11
Chiba,2020/03/30,-10,6,9,-25,-10,7
Chiba,2020/03/31,-7,7,15,-25,-9,7
Chiba,2020/04/01,-25,-7,-36,-29,-13,9
Chiba,2020/04/02,-14,7,15,-28,-14,9
Chiba,2020/04/03,-15,9,40,-30,-14,9
Chiba,2020/04/04,-27,6,28,-44,-16,10
Chiba,2020/04/05,-35,-1,-14,-53,-18,10
Chiba,2020/04/06,-16,10,25,-28,-13,8
Chiba,2020/04/07,-13,7,19,-32,-18,10
Chiba,2020/04/08,-27,3,36,-41,-23,13
Chiba,2020/04/09,-28,1,18,-43,-26,15
Chiba,2020/04/10,-30,5,15,-45,-26,16
Chiba,2020/04/11,-34,3,17,-53,-26,13
Chiba,2020/04/12,-42,-5,-11,-61,-27,13
Chiba,2020/04/13,-50,-27,-57,-52,-31,19
Chiba,2020/04/14,-23,9,21,-48,-30,17
Chiba,2020/04/15,-25,10,46,-47,-31,16
Chiba,2020/04/16,-29,6,14,-49,-33,18
Chiba,2020/04/17,-30,10,22,-51,-32,19
Chiba,2020/04/18,-61,-31,-64,-67,-34,20
Chiba,2020/04/19,-40,4,40,-55,-25,11
Chiba,2020/04/20,-44,-14,-50,-53,-33,19
Chiba,2020/04/21,-31,3,23,-50,-33,18
Chiba,2020/04/22,-36,-3,22,-52,-34,18
Chiba,2020/04/23,-35,-1,24,-51,-34,18
Chiba,2020/04/24,-37,0,10,-51,-33,20
Chiba,2020/04/25,-43,-4,3,-55,-28,15
Chiba,2020/04/26,-48,-9,3,-60,-29,13
Chiba,2020/04/27,-39,-9,-14,-50,-33,19
Chiba,2020/04/28,-28,3,14,-50,-34,18
Chiba,2020/04/29,-27,-2,64,-68,-68,26
Chiba,2020/04/30,-29,4,22,-50,-37,19
Chiba,2020/05/01,-34,1,22,-53,-39,22
Chiba,2020/05/02,-44,-6,3,-57,-32,16
Chiba,2020/05/03,-45,-6,10,-59,-31,13
Chiba,2020/05/04,-30,-9,-5,-72,-73,32
Chiba,2020/05/05,-20,1,52,-69,-73,31
Chiba,2020/05/06,-38,-15,-18,-73,-72,32
Chiba,2020/05/07,-32,1,20,-45,-30,17
Chiba,2020/05/08,-35,0,27,-48,-31,18
Chiba,2020/05/09,-41,-6,-1,-53,-23,14
Ehime,2020/02/15,-4,3,-3,-1,2,1
Ehime,2020/02/16,-7,-3,-37,-13,-1,3
Ehime,2020/02/17,-3,0,-18,-4,1,2
Ehime,2020/02/18,-2,0,4,0,0,1
Ehime,2020/02/19,1,0,6,1,0,0
Ehime,2020/02/20,1,3,7,5,1,0
Ehime,2020/02/21,0,0,8,5,1,1
Ehime,2020/02/22,-2,1,-23,0,-2,2
Ehime,2020/02/23,5,5,48,24,1,-1
Ehime,2020/02/24,26,5,84,18,-49,11
Ehime,2020/02/25,2,5,12,4,2,0
Ehime,2020/02/26,2,3,2,2,1,0
Ehime,2020/02/27,2,5,4,-1,1,1
Ehime,2020/02/28,0,9,-5,-7,2,1
Ehime,2020/02/29,-9,8,-48,-24,5,4
Ehime,2020/03/01,-6,8,-17,-19,7,3
Ehime,2020/03/02,-2,9,-1,-15,1,2
Ehime,2020/03/03,-3,6,16,-11,0,2
Ehime,2020/03/04,-10,-1,-28,-19,-3,4
Ehime,2020/03/05,-7,4,-2,-16,-2,3
Ehime,2020/03/06,-9,0,10,-16,-2,4
Ehime,2020/03/07,-14,1,-22,-28,-2,6
Ehime,2020/03/08,-11,1,-7,-25,-4,5
Ehime,2020/03/09,-6,1,16,-14,-1,3
Ehime,2020/03/10,-3,2,-11,-16,-2,4
Ehime,2020/03/11,-1,2,6,-12,-3,3
Ehime,2020/03/12,-2,3,20,-9,-2,2
Ehime,2020/03/13,-4,0,10,-14,-2,3
Ehime,2020/03/14,-7,3,-21,-22,-7,6
Ehime,2020/03/15,-7,2,8,-16,-3,4
Ehime,2020/03/16,-1,1,9,-14,-1,3
Ehime,2020/03/17,0,1,33,-8,-3,3
Ehime,2020/03/18,1,0,20,-8,-2,2
Ehime,2020/03/19,7,4,19,-2,-2,1
Ehime,2020/03/20,18,6,69,-1,-48,13
Ehime,2020/03/21,-5,5,35,0,-6,3
Ehime,2020/03/22,-5,2,27,-6,-2,3
Ehime,2020/03/23,3,2,32,-6,-1,2
Ehime,2020/03/24,5,2,40,-7,-3,2
Ehime,2020/03/25,7,3,29,-5,-2,1
Ehime,2020/03/26,2,5,10,-7,-2,2
Ehime,2020/03/27,-5,-2,-31,-16,-4,5
Ehime,2020/03/28,-11,0,-38,-24,-4,6
Ehime,2020/03/29,-5,5,29,-12,0,3
Ehime,2020/03/30,0,2,2,-13,-3,3
Ehime,2020/03/31,0,4,21,-11,-3,3
Ehime,2020/04/01,-11,-5,-30,-23,-7,5
Ehime,2020/04/02,-5,5,40,-13,-6,3
Ehime,2020/04/03,-12,2,35,-18,-7,5
Ehime,2020/04/04,-16,7,41,-21,-6,6
Ehime,2020/04/05,-18,4,58,-24,-6,6
Ehime,2020/04/06,-9,3,45,-18,-5,4
Ehime,2020/04/07,-10,3,50,-20,-7,4
Ehime,2020/04/08,-11,1,28,-20,-9,5
Ehime,2020/04/09,-14,1,29,-22,-8,5
Ehime,2020/04/10,-16,2,23,-26,-7,5
Ehime,2020/04/11,-21,5,15,-35,-13,8
Ehime,2020/04/12,-36,-12,-63,-59,-15,11
Ehime,2020/04/13,-25,-8,-36,-35,-8,8
Ehime,2020/04/14,-16,1,30,-25,-7,5
Ehime,2020/04/15,-15,4,12,-26,-8,5
Ehime,2020/04/16,-17,3,14,-28,-8,6
Ehime,2020/04/17,-22,0,-10,-36,-9,8
Ehime,2020/04/18,-32,-2,-25,-47,-14,11
Ehime,2020/04/19,-34,-3,-2,-48,-15,10
Ehime,2020/04/20,-23,-3,0,-36,-9,8
Ehime,2020/04/21,-25,-3,17,-35,-12,8
Ehime,2020/04/22,-26,-5,0,-38,-13,8
Ehime,2020/04/23,-30,-5,-6,-39,-13,9
Ehime,2020/04/24,-29,-2,-4,-41,-13,10
Ehime,2020/04/25,-34,-1,-5,-45,-17,11
Ehime,2020/04/26,-38,-7,-9,-52,-18,11
Ehime,2020/04/27,-22,-1,16,-37,-13,9
Ehime,2020/04/28,-20,1,27,-35,-14,7
Ehime,2020/04/29,-18,-4,28,-47,-56,16
Ehime,2020/04/30,-22,4,10,-37,-18,10
Ehime,2020/05/01,-25,0,10,-43,-22,13
Ehime,2020/05/02,-35,-1,-5,-48,-22,12
Ehime,2020/05/03,-39,-10,-46,-62,-25,13
Ehime,2020/05/04,-11,0,51,-46,-66,23
Ehime,2020/05/05,-11,1,56,-44,-67,23
Ehime,2020/05/06,-20,-4,18,-50,-63,23
Ehime,2020/05/07,-25,-2,2,-38,-12,8
Ehime,2020/05/08,-27,-3,6,-40,-13,9
Ehime,2020/05/09,-32,-4,-32,-52,-12,11
Fukui,2020/02/15,2,3,26,6,7,-1
Fukui,2020/02/16,-7,-1,-35,-6,-2,2
Fukui,2020/02/17,-2,1,-1,6,1,1
Fukui,2020/02/18,-5,-1,-2,0,0,1
Fukui,2020/02/19,3,5,18,4,1,0
Fukui,2020/02/20,4,4,18,4,1,0
Fukui,2020/02/21,2,5,15,8,1,0
Fukui,2020/02/22,-1,3,-7,5,-3,1
Fukui,2020/02/23,3,5,-14,19,0,0
Fukui,2020/02/24,31,13,91,24,-56,14
Fukui,2020/02/25,-1,5,-2,2,1,0
Fukui,2020/02/26,2,7,16,2,2,0
Fukui,2020/02/27,2,7,10,-3,1,1
Fukui,2020/02/28,1,17,3,-8,2,2
Fukui,2020/02/29,-2,15,-3,-22,8,2
Fukui,2020/03/01,-5,12,-1,-16,3,3
Fukui,2020/03/02,-3,8,6,-11,0,2
